delay,întârziere
roads,drumuri
portsmouth,portsmouth
progressive,progresivă
jenny,jenny
portable,portabil
appeal,apel
analysis,analiza
door,usa
fly,zbura
instrumental,instrumental
shannon,shannon
considerable,considerabile
bosnia,bosnia
locator,localizare
car,masina
neighbor,vecinul
touch,touch
technical,tehnice
action,acțiune
previous,anterior
freedom,libertatea
excellence,excelență
cemetery,cimitir
tuesday,marți
college,colegiul
elevation,altitudine
grace,grace
campbell,campbell
year,an
monaco,monaco
mineral,minerale
tub,cada
visible,vizibil
rage,furie
exclusive,exclusiv
catalog,catalog
union,uniunea
tracy,tracy
factor,factor
exciting,interesant
reconstruction,reconstrucție
lithuania,lituania
interior,interior
thumbnail,miniatură
enzyme,enzima
athletic,atletic
trustee,administrator
fair,corect
tension,tensiune
tile,faianta
plot,complot
grenada,grenada
over,peste
conducting,efectuarea
wallace,wallace
sandwich,sandwich
wit,spirit
reasonable,rezonabil
continued,a continuat
shoulder,umăr
liability,răspunderea
suit,costum
velvet,catifea
sheer,pur
electrical,electrice
manner,mod
donor,donator
exception,excepție
down,jos
weird,ciudat
eliminate,elimina
excess,excesul de
edward,edward
publicity,publicitate
donate,dona
fatty,grase
accurately,precis
burton,burton
week,saptamana
sacrifice,sacrificiu
devon,devon
helpful,ajutor
conservation,conservarea
clone,clona
morgan,morgan
respective,respective
native,nativ
scottish,scoțian
group,grup
prescribed,prescris
imported,importate
contact,contact
soldier,soldat
bolt,bolt
smaller,mai mici
council,consiliul
buyer,cumpărător
glow,strălucire
span,span
inspector,inspector
ethernet,ethernet
representative,reprezentant
delaware,delaware
end,end
training,formare
petition,petiție
sterling,sterling
heat,căldură
home,acasă
parade,parada
poetry,poezie
forever,pentru totdeauna
olympic,olimpic
mood,starea de spirit
west,vest
society,societatea
head,cap
corner,colț
angry,angry
lazy,leneș
total,total
perth,perth
z,z
payroll,salarizare
nature,natura
casino,casino
barrel,butoi
aerospace,industria aerospațială
minor,minore
min,min
ten,zece
pursuant,în temeiul
club,club
jail,închisoare
composition,compoziție
massive,masiv
sofa,canapea
surgical,chirurgicale
robust,robust
mary,mary
drink,bea
document,document
marketplace,piata
calendar,calendar
hunt,hunt
glen,glen
bell,bell
anaheim,anaheim
steps,pașii
ratio,raport
hat,palarie
sponsor,sponsor
pierce,pierce
wrong,greșit
defendant,inculpatul
besides,în plus
journalism,jurnalism
illinois,illinois
correct,corect
wheel,roata
stick,stick
mine,al meu
hepatitis,hepatita
nomination,nominalizare
assault,atac
dramatically,dramatic
accordingly,în mod corespunzător
money,bani
cigarette,tigara
interested,interesat
day,zi
ted,ted
approve,de acord
ahead,mai departe
locking,blocare
dairy,lactate
specification,caietul de sarcini
cope,a face față
physical,fizice
shot,împușcat
fever,febra
sudan,sudan
unlimited,nelimitat
victorian,victorian
aids,sida
clinical,clinic
antibody,anticorpi
may,poate
distinction,distincția
solve,rezolva
console,consola
practice,practica
culture,cultura
indicator,indicator
other,alte
committee,comitetul
robert,robert
projection,proiecție
memory,memorie
boom,boom-ul
completely,complet
blue,albastru
mile,mile
checkout,checkout
secretariat,secretariatul
graphics,grafica
treated,tratat
romania,românia
blog,blog
announcement,anunțul
partially,parțial
clothing,îmbrăcăminte
tropical,tropical
princeton,princeton
fabulous,fabulos
loading,încărcare
jade,jade
smile,zâmbet
picnic,picnic
joseph,joseph
legendary,legendarul
prague,praga
occupation,ocupație
blade,lama
current,curent
puppy,catelus
poster,poster
harvey,harvey
sue,sue
appreciate,apreciez
animal,animale
electronics,electronice
married,căsătorit
deficit,deficitul
advise,recomanda
temporal,temporal
conservative,conservator
nylon,nailon
sip,sip
sic,sic
periodic,periodice
turn,transforma
sheffield,sheffield
southeast,sud-est
quad,quad
apartment,apartament
due,din cauza
resist,rezista
honduras,honduras
component,componenta
disorder,tulburare
navy,marina
equally,la fel
caroline,caroline
apt,apt
appreciation,aprecierea
ever,vreodată
parliament,parlamentul
include,include
documentation,documentația
annoying,enervant
victim,victima
morocco,maroc
indoor,interior
cf,cf
deadly,mortal
nirvana,nirvana
dining,mese
audience,publicul
complete,complet
republic,republica
actual,real
swift,swift
moscow,moscova
salem,salem
repair,reparații
nursery,pepinieră
transfer,transfer
internet,internet
later,mai târziu
evening,seara
fiction,ficțiune
bench,banc
listen,asculta
monte,monte
sleep,somn
might,s-ar putea
rare,rare
sur,sur
admit,recunosc
syndicate,sindicatul
bold,bold
deaf,surd
founder,fondator
software,software-ul
landscape,peisaj
faculty,facultatea
kinase,kinaza
dis,dis
satisfaction,satisfacția
australian,australian
finite,finite
intensive,intensiv
threatened,amenințat
catalogue,catalog
savage,savage
maintain,menține
diagnosis,diagnosticul
hire,închiriere
cincinnati,cincinnati
publication,publicarea
mature,femei mature
self,auto
pathology,patologie
fantasy,fantezie
acting,acționează
cent,cent
european,europene
compression,compresie
termination,încetarea
emerald,smarald
path,calea
police,poliția
captain,căpitanul
moses,moise
cage,cusca
driving,de conducere
vice,vice
pattern,model
yea,da
amazon,amazon
alaska,alaska
barely,abia
julian,julian
sally,sally
approved,aprobat
needed,necesare
injury,prejudiciu
jewelry,bijuterii
lady,doamna
requirement,cerință
historic,istoric
structured,structurat
avenue,avenue
gibraltar,gibraltar
precise,precis
minimum,minim
alfred,alfred
output,ieșire
pointed,a subliniat
closing,închidere
proceed,trece
specialist,de specialitate
florence,florența
jersey,jersey
mars,marte
kind,fel
forum,forum
freight,de transport de marfă
financing,finanțare
singer,cantareata
pole,pol
nigeria,nigeria
combination,combinație
accountability,responsabilitate
distinct,distincte
known,cunoscut
toyota,toyota
cooling,de răcire
dear,draga
editorial,editorial
attendance,participarea
saving,salvarea
digit,cifre
nick,nick
hungary,ungaria
suspected,suspectat
exempt,scutite
away,departe
science,știința
pain,durerea
ridge,creasta
deeply,profund
monetary,monetare
extent,măsura
little,mic
collect,colecta
differ,diferă
hopefully,să sperăm că
dash,dash
facility,facilitatea
lighting,iluminat
paperback,paperback
restricted,restricționat
specially,special
brass,alama
communications,comunicații
desperate,disperat
apart,în afară
virtual,virtual
monitoring,monitorizarea
administration,administrația
strength,puterea
bob,bob
authentic,autentic
point,punct
wage,salariu
possible,posibil
symposium,simpozion
posted,postat
ipod,ipod
ireland,irlanda
vision,viziunea
engineer,inginer
savings,economii
stuff,chestii
road,drum
vocal,vocal
greene,greene
meanwhile,între timp
bahrain,bahrain
trader,comerciant
uniform,uniforma
arrival,sosire
messenger,messenger
discrimination,discriminare
interesting,interesant
despite,în ciuda
qualification,calificare
occupied,ocupat
step,pas
abraham,abraham
protection,protecție
annual,anual
junction,junction
russell,russell
spam,spam-ul
isaac,isaac
ftp,ftp
coat,haina
scientific,științifice
immigration,imigrația
gang,gasca
corruption,corupție
genetic,genetic
nickel,nichel
fountain,fantana
imposed,impuse
certificate,certificat
acoustic,acustic
tennessee,tennessee
quickly,rapid
proceeding,procedură
server,server
precipitation,cantitatea
historical,istoric
fairly,destul de
remarkable,remarcabil
coffee,cafea
tip,sfat
peaceful,pașnică
novel,roman
listing,listare
wolf,wolf
tyler,tyler
smell,mirosul
penalty,pedeapsa
lean,slaba
webcam,webcam
shame,rusine
corps,corpul
irish,irlandeză
burns,arsuri
registration,înregistrare
asia,asia
postcard,carte poștală
somalia,somalia
humanitarian,umanitar
sierra,sierra
through,prin
listening,asculta
consumption,consumul
gem,gem
albuquerque,albuquerque
incidence,incidența
accounting,contabilitate
business,afaceri
viewer,viewer
navigate,navigați
beat,bate
absorption,absorbția
filter,filtru
provide,oferi
advertiser,publicitate
fax,fax
salad,salata
hiv,hiv
player,player
he,el
do,face
metro,metrou
washer,mașină de spălat
economic,economice
lip,buze
senegal,senegal
adopt,adopta
driver,driver
democratic,democrat
costa,costa
stay,stai
basket,coș
admission,admitere
concrete,beton
alone,singur
ways,moduri
compensation,compensare
exit,ieșire
fitness,fitness
propose,propun
boulder,boulder
herb,planta
enabling,activarea
blind,orb
sussex,sussex
masters,masterat
route,traseu
anne,anne
flashing,intermitent
adobe,adobe
yoga,yoga
up,până
biblical,biblic
railway,de cale ferată
forbidden,interzis
global,global
lounge,lounge
random,aleatoare
imagination,imaginația
yugoslavia,iugoslavia
funeral,înmormântare
hence,prin urmare
slide,slide
relations,relațiile
origin,origine
gently,ușor
structure,structura
noticed,observat
hang,hang
worn,purtat
aluminum,aluminiu
reunion,reuniune
objective,obiectivul
bleeding,sângerare
cold,rece
duty,datoria
dark,întuneric
trading,de tranzacționare
hose,furtun
survive,supraviețui
saturn,saturn
behavior,comportamentul
magic,magic
spokesman,purtătorul de cuvânt al
prerequisite,condiție prealabilă
lesson,lecție
impaired,afectarea
dive,se arunca cu capul
micro,micro
spider,spider
hostel,hostel
adrian,adrian
i,am
combine,combina
psychology,psihologie
gulf,golful
penny,penny
mother,mama
lack,lipsa
abstract,rezumat
courage,curaj
modify,modifica
religious,religioase
gray,gri
foster,foster
seminar,seminar
poland,polonia
instant,instant
complimentary,gratuit
surf,surf
notion,noțiunea
personality,personalitate
efficient,eficient
secretary,secretarul
opportunity,posibilitatea de
wisconsin,wisconsin
suicide,sinucidere
corpus,corpus
victoria,victoria
legitimate,legitime
bear,urs
metadata,metadate
helmet,casca
familiar,familiar
brother,frate
vulnerable,vulnerabile
dressed,îmbrăcat
indianapolis,indianapolis
mere,simpla
install,instalați
study,studiu
cambridge,cambridge
manitoba,manitoba
method,metoda
sit,stai
hide,ascunde
turned,transformat
obtain,obține
vertical,vertical
stuck,blocat
director,directorul
dried,uscate
rand,rand
project,proiect
glance,vedere
mainstream,mainstream
innovative,inovatoare
stamp,ștampila
shaft,ax
eastern,est
unsigned,nesemnat
ford,ford
pressing,apăsarea
modular,modular
universe,universul
galaxy,galaxy
introduce,introduce
demonstrated,a demonstrat
proposal,propunere
solution,soluție
macro,macro
welcome,bine ati venit
deviation,abaterea
tulsa,tulsa
rubber,cauciuc
dollar,dolarul
letter,scrisoare
basin,bazinul
contents,conținutul
transcription,transcriere
aid,ajutor
competent,competente
paint,vopsea
tamil,tamil
young,tineri
bishop,episcopul
rental,închiriere
draft,proiectul
coated,filmate
attitude,atitudinea
golden,de aur
indeed,într-adevăr
hate,urăsc
exposure,expunerea
schedule,programul
mining,minerit
repository,depozit
ash,ash
management,management
accordance,conformitate
received,a primit
vanilla,vanilie
log,jurnal
glass,sticla
jerusalem,ierusalim
services,servicii
dome,dom
walter,walter
debug,depanare
groove,groove
loving,iubitoare
curious,curios
belle,belle
python,python
simply,pur și simplu
showcase,vitrina
agricultural,agricole
execute,executa
fame,faima
conditioning,condiționat
trunk,portbagaj
anderson,anderson
cambodia,cambodgia
sound,sunet
logistics,logistica
bailey,bailey
vital,vital
alien,alien
news,știri
exceed,depășească
urban,urban
stunning,uimitoare
spending,cheltuielile
spencer,spencer
destruction,distrugerea
retired,retras
annotation,adnotare
platinum,platinum
crop,cultură
swimming,înot
variety,varietate
moral,moral
third,a treia
equipment,echipamente
operating,de operare
argentina,argentina
